Source	Target	Weight
AIBL	RIMR	1
AIBR	RIML	1
AVAL	AVAR	5
AVAL	DA01	3
AVAL	DA02	3
AVAL	DA03	3
AVAL	DA04	3
AVAL	DA05	3
AVAL	DA06	3
AVAL	DA07	3
AVAL	DA08	3
AVAL	DA09	3
AVAL	RIML	1
AVAL	RIMR	3
AVAL	VA01	3
AVAL	VA02	3
AVAL	VA03	3
AVAL	VA04	3
AVAL	VA05	3
AVAL	VA06	3
AVAL	VA07	3
AVAL	VA08	3
AVAL	VA09	3
AVAL	VA10	3
AVAL	VA11	3
AVAL	VA12	3
AVAR	AVAL	5
AVAR	DA01	3
AVAR	DA02	3
AVAR	DA03	3
AVAR	DA04	3
AVAR	DA05	3
AVAR	DA06	3
AVAR	DA07	3
AVAR	DA08	3
AVAR	DA09	3
AVAR	RIML	3
AVAR	RIMR	1
AVAR	VA01	3
AVAR	VA02	3
AVAR	VA03	3
AVAR	VA04	3
AVAR	VA05	3
AVAR	VA06	3
AVAR	VA07	3
AVAR	VA08	3
AVAR	VA09	3
AVAR	VA10	3
AVAR	VA11	3
AVAR	VA12	3
AVEL	AVER	1
AVEL	RIML	2
AVEL	RIMR	3
AVER	AVEL	1
AVER	RIML	3
AVER	RIMR	2
DA01	AVAL	3
DA01	AVAR	3
DA01	DA04	1
DA02	AVAL	3
DA02	AVAR	3
DA02	VA01	1
DA03	AVAL	3
DA03	AVAR	3
DA04	AVAL	3
DA04	AVAR	3
DA04	DA01	1
DA05	AVAL	3
DA05	AVAR	3
DA05	VA04	2
DA05	VA05	2
DA06	AVAL	3
DA06	AVAR	3
DA07	AVAL	3
DA07	AVAR	3
DA08	AVAL	3
DA08	AVAR	3
DA08	DA09	1
DA09	AVAL	3
DA09	AVAR	3
DA09	DA08	1
RIML	AIBR	1
RIML	AVAL	1
RIML	AVAR	3
RIML	AVEL	2
RIML	AVER	3
RIMR	AIBL	1
RIMR	AVAL	3
RIMR	AVAR	1
RIMR	AVEL	3
RIMR	AVER	2
VA01	AVAL	3
VA01	AVAR	3
VA01	DA02	1
VA02	AVAL	3
VA02	AVAR	3
VA03	AVAL	3
VA03	AVAR	3
VA04	AVAL	3
VA04	AVAR	3
VA04	DA05	2
VA05	AVAL	3
VA05	AVAR	3
VA05	DA05	2
VA06	AVAL	3
VA06	AVAR	3
VA07	AVAL	3
VA07	AVAR	3
VA08	AVAL	3
VA08	AVAR	3
VA09	AVAL	3
VA09	AVAR	3
VA10	AVAL	3
VA10	AVAR	3
VA11	AVAL	3
VA11	AVAR	3
VA12	AVAL	3
VA12	AVAR	3
