Source	Target	Weight
AIBL	RIML	2
AIBL	RIMR	15
AIBL	AVAL	2
AIBL	AVER	1
RIML	AIBR	4
RIML	AVAL	1
RIML	AVAR	2
RIMR	AIBL	4
RIMR	AVAL	2
RIMR	AVAR	1
AIBR	RIML	15
AIBR	RIMR	2
AIBR	AVAR	2
AIBR	AVEL	1
AVAL	AVDL	2
AVAL	AVAR	2
AVAL	DA01	2
AVAL	DA02	2
AVAL	DA03	5
AVAL	DA04	7
AVAL	DA05	5
AVAL	DA09	3
AVAL	VA08	11
AVAL	VA09	7
AVAL	DA06	11
AVAL	DA07	3
AVAL	DA08	6
AVAL	VA02	2
AVAL	VA03	4
AVAL	VA04	2
AVAL	VA05	2
AVAL	VA06	4
AVAL	VA10	5
AVAL	VA11	7
AVAL	VA12	2
AVAL	AVEL	2
AVAL	AVDR	1
AVAL	AVER	2
AVDL	AVAL	14
AVDL	AVAR	18
AVDL	DA01	2
AVDL	DA02	1
AVDL	DA03	3
AVDL	DA04	2
AVDL	DA05	2
AVDL	DA09	1
AVDL	DA08	1
AVDL	VA02	1
AVDL	VA03	2
AVDL	VA05	2
AVDL	VA06	1
AVDL	VA11	1
AVDL	AVDR	2
AVAR	AVAL	2
AVAR	AVDL	1
AVAR	DA01	2
AVAR	DA02	2
AVAR	DA03	5
AVAR	DA04	7
AVAR	DA05	5
AVAR	DA09	3
AVAR	VA08	11
AVAR	VA09	7
AVAR	DA06	11
AVAR	DA07	3
AVAR	DA08	6
AVAR	VA02	2
AVAR	VA03	4
AVAR	VA04	2
AVAR	VA05	2
AVAR	VA06	4
AVAR	VA10	5
AVAR	VA11	7
AVAR	VA12	2
AVAR	AVEL	2
AVAR	AVDR	2
AVAR	AVER	2
DA03	DA04	2
DA04	DA03	1
VA08	VA09	1
VA02	AVAL	1
VA02	AVAR	1
VA02	VA03	2
VA03	VA04	1
VA04	AVDL	1
VA04	AVDR	1
VA12	DA09	5
VA12	DA08	3
VA12	VA11	1
AVEL	AVAL	14
AVEL	AVDL	1
AVEL	AVAR	7
AVEL	DA01	5
AVEL	DA02	2
AVEL	DA03	2
AVEL	DA04	1
AVEL	VA02	1
AVEL	VA03	3
AVEL	VA04	1
AVEL	VA05	1
AVEL	VA01	3
AVDR	AVAL	18
AVDR	AVDL	2
AVDR	AVAR	14
AVDR	DA01	2
AVDR	DA02	1
AVDR	DA03	3
AVDR	DA04	2
AVDR	DA05	2
AVDR	DA09	1
AVDR	DA08	1
AVDR	VA02	1
AVDR	VA03	2
AVDR	VA05	2
AVDR	VA06	1
AVDR	VA11	1
AVER	AVAL	7
AVER	AVAR	14
AVER	DA01	5
AVER	DA02	2
AVER	DA03	2
AVER	DA04	1
AVER	VA02	1
AVER	VA03	3
AVER	VA04	1
AVER	VA05	1
AVER	AVDR	1
AVER	VA01	3
