Source	Target	Weight
AIBL	RIMR	1
AIBR	RIML	1
AVAL	VA11	1
AVAL	VA10	1
AVAL	VA09	1
AVAR	VA09	1
AVAR	VA02	1
AVAR	DA07	1
DA07	AVAR	1
VA02	AVAR	1
AVAL	VA08	1
AVAL	VA07	1
AVAL	VA06	1
AVAL	VA05	1
AVAL	VA04	1
AVAL	VA03	1
AVAL	VA02	1
AVAL	VA01	1
AVAL	DA07	1
AVAL	DA06	1
AVAL	DA05	1
AVAL	DA04	1
AVAL	DA02	1
AVAL	DA01	1
AVAL	AVAR	1
AVAL	RIMR	1
AVAL	VA12	1
AVAL	DA03	1
AVAL	DA09	1
AVAL	DA08	1
AVAL	RIML	1
AVAR	AVAL	1
AVAR	VA12	1
AVAR	VA11	1
AVAR	VA10	1
AVAR	VA08	1
AVAR	VA07	1
AVAR	VA06	1
AVAR	VA05	1
AVAR	VA04	1
AVAR	VA03	1
AVAR	DA08	1
AVAR	DA06	1
AVAR	DA05	1
AVAR	DA04	1
AVAR	DA03	1
AVAR	DA02	1
AVAR	DA01	1
AVAR	RIML	1
AVAR	RIMR	1
AVAR	DA09	1
AVAR	VA01	1
AVEL	AVER	1
AVEL	RIML	1
AVEL	RIMR	1
AVER	AVEL	1
AVER	RIML	1
AVER	RIMR	1
DA01	AVAL	1
DA01	AVAR	1
DA01	DA04	1
DA02	AVAL	1
DA02	AVAR	1
DA02	VA01	1
DA03	AVAR	1
DA03	AVAL	1
DA04	AVAL	1
DA04	AVAR	1
DA04	DA01	1
DA05	AVAL	1
DA05	AVAR	1
DA05	VA04	1
DA05	VA05	1
DA06	AVAL	1
DA06	AVAR	1
DA07	AVAL	1
DA08	AVAR	1
DA08	DA09	1
DA08	AVAL	1
DA09	DA08	1
DA09	AVAL	1
DA09	AVAR	1
RIML	AIBR	1
RIML	AVAR	1
RIML	AVEL	1
RIML	AVER	1
RIML	AVAL	1
RIMR	AIBL	1
RIMR	AVAL	1
RIMR	AVAR	1
RIMR	AVEL	1
RIMR	AVER	1
VA01	AVAL	1
VA01	DA02	1
VA01	AVAR	1
VA02	AVAL	1
VA03	AVAL	1
VA03	AVAR	1
VA04	AVAL	1
VA04	AVAR	1
VA04	DA05	1
VA05	AVAL	1
VA05	AVAR	1
VA05	DA05	1
VA06	AVAL	1
VA06	AVAR	1
VA07	AVAL	1
VA07	AVAR	1
VA08	AVAL	1
VA08	AVAR	1
VA09	AVAL	1
VA09	AVAR	1
VA10	AVAL	1
VA10	AVAR	1
VA11	AVAL	1
VA11	AVAR	1
VA12	AVAR	1
VA12	AVAL	1
