Source	Target	Weight
AIBL	RIMR	1
RIMR	AIBL	1
RIMR	AVAL	3
RIMR	AVAR	1
RIMR	AVEL	3
RIMR	AVER	2
AIBR	RIML	1
RIML	AIBR	1
RIML	AVAL	1
RIML	AVAR	3
RIML	AVEL	2
RIML	AVER	3
AVAL	RIMR	3
AVAL	RIML	1
AVAL	AVAR	5
AVAL	DA01	4
AVAL	DA02	2
AVAL	DA04	3
AVAL	DA05	3
AVAL	DA06	6
AVAL	DA07	2
AVAL	VA01	3
AVAL	VA02	4
AVAL	VA03	2
AVAL	VA04	2
AVAL	VA05	4
AVAL	VA06	4
AVAL	VA07	3
AVAL	VA08	7
AVAL	VA09	1
AVAL	VA10	1
AVAL	VA11	4
AVAL	DA03	2
AVAL	DA08	1
AVAL	VA12	1
AVAR	RIMR	1
AVAR	RIML	3
AVAR	AVAL	5
AVAR	DA01	4
AVAR	DA02	2
AVAR	DA04	3
AVAR	DA05	3
AVAR	DA06	6
AVAR	DA07	2
AVAR	VA01	3
AVAR	VA02	4
AVAR	VA03	2
AVAR	VA04	2
AVAR	VA05	4
AVAR	VA06	4
AVAR	VA07	3
AVAR	VA08	7
AVAR	VA09	1
AVAR	VA10	1
AVAR	VA11	4
AVAR	DA03	2
AVAR	DA08	1
AVAR	VA12	1
DA01	AVAL	4
DA01	AVAR	4
DA01	DA04	1
DA02	AVAL	2
DA02	AVAR	2
DA02	VA01	2
DA04	AVAL	3
DA04	AVAR	3
DA04	DA01	1
DA05	AVAL	3
DA05	AVAR	3
DA05	VA04	1
DA05	VA05	2
DA06	AVAL	6
DA06	AVAR	6
DA07	AVAL	2
DA07	AVAR	2
VA01	AVAL	3
VA01	AVAR	3
VA01	DA02	2
VA02	AVAL	4
VA02	AVAR	4
VA03	AVAL	2
VA03	AVAR	2
VA04	AVAL	2
VA04	AVAR	2
VA04	DA05	1
VA05	AVAL	4
VA05	AVAR	4
VA05	DA05	2
VA06	AVAL	4
VA06	AVAR	4
VA07	AVAL	3
VA07	AVAR	3
VA08	AVAL	7
VA08	AVAR	7
VA09	AVAL	1
VA09	AVAR	1
VA10	AVAL	1
VA10	AVAR	1
VA11	AVAL	4
VA11	AVAR	4
DA03	AVAL	2
DA03	AVAR	2
DA08	AVAL	1
DA08	AVAR	1
DA08	DA09	1
VA12	AVAL	1
VA12	AVAR	1
AVEL	RIMR	3
AVEL	RIML	2
AVEL	AVER	1
AVER	RIMR	2
AVER	RIML	3
AVER	AVEL	1
DA09	DA08	1
