Source	Target	Weight
AIBL	RIMR	1
AIBR	RIML	1
AVAL	RIMR	3
AVAL	AVAR	5
AVAL	DA01	2
AVAL	DA02	2
AVAL	DA04	3
AVAL	DA05	1
AVAL	DA06	10
AVAL	DA07	2
AVAL	VA01	3
AVAL	VA02	4
AVAL	VA03	1
AVAL	VA04	1
AVAL	VA05	5
AVAL	VA06	6
AVAL	VA07	2
AVAL	VA08	10
AVAL	VA09	1
AVAL	VA10	1
AVAL	VA11	1
AVAR	AVAL	5
AVAR	RIMR	1
AVAR	RIML	2
AVAR	DA01	6
AVAR	DA02	2
AVAR	DA03	2
AVAR	DA04	2
AVAR	DA05	5
AVAR	DA06	2
AVAR	DA08	1
AVAR	VA03	2
AVAR	VA04	3
AVAR	VA05	3
AVAR	VA06	2
AVAR	VA07	4
AVAR	VA08	4
AVAR	VA10	1
AVAR	VA11	7
AVAR	VA12	1
AVEL	RIMR	3
AVEL	RIML	2
AVEL	AVER	1
AVER	AVEL	1
AVER	RIMR	2
AVER	RIML	3
DA01	AVAL	2
DA01	AVAR	6
DA01	DA04	1
DA02	AVAL	2
DA02	AVAR	2
DA02	VA01	2
DA03	AVAR	2
DA04	AVAL	3
DA04	AVAR	2
DA04	DA01	1
DA05	AVAL	1
DA05	AVAR	5
DA05	VA05	2
DA05	VA04	1
DA06	AVAL	10
DA06	AVAR	2
DA07	AVAL	2
DA08	AVAR	1
DA08	DA09	1
DA09	DA08	1
RIML	AIBR	1
RIML	AVAR	2
RIML	AVEL	2
RIML	AVER	3
RIMR	AIBL	1
RIMR	AVAL	3
RIMR	AVAR	1
RIMR	AVEL	3
RIMR	AVER	2
VA01	AVAL	3
VA01	DA02	2
VA02	AVAL	4
VA03	AVAL	1
VA03	AVAR	2
VA04	AVAL	1
VA04	AVAR	3
VA04	DA05	1
VA05	AVAL	5
VA05	AVAR	3
VA05	DA05	2
VA06	AVAL	6
VA06	AVAR	2
VA07	AVAL	2
VA07	AVAR	4
VA08	AVAL	10
VA08	AVAR	4
VA08	VA08	1
VA09	AVAL	1
VA10	AVAL	1
VA10	AVAR	1
VA11	AVAL	1
VA11	AVAR	7
VA12	AVAR	1
