Source	Target	Weight
RIBR	AIBL	2
RIBR	AVAR	2
RIBR	AVEL	4
RIBR	AVDL	1
RIBR	AVER	2
RIBL	AIBR	2
RIBL	AVAL	2
RIBL	AVEL	2
RIBL	AVDR	1
RIBL	AVER	4
AVBR	AVAL	7
AVBR	AVAR	7
AVBR	AVEL	2
AVBR	VA02	1
AVBR	VA07	1
AVBR	VA10	1
AVBR	AVDL	2
AVBR	AVDR	1
AVBR	AVER	1
AVBR	VA09	1
AVBR	DA05	1
AVBR	VA04	1
AVBL	AVAL	7
AVBL	AVAR	7
AVBL	AVEL	1
AVBL	VA02	1
AVBL	VA07	1
AVBL	VA10	1
AVBL	AVDL	1
AVBL	AVDR	2
AVBL	AVER	2
AVBL	VA09	1
AVBL	DA05	1
AVBL	VA04	1
PVCL	AVAL	5
PVCL	AVAR	6
PVCL	AVEL	2
PVCL	AVDL	3
PVCL	AVDR	4
PVCL	AVER	1
PVCL	DA05	1
PVCL	DA02	1
PVCL	DA06	1
PVCL	DA09	1
PVCR	AVAL	6
PVCR	AVAR	5
PVCR	AVEL	1
PVCR	AVDL	4
PVCR	AVDR	3
PVCR	AVER	2
PVCR	DA05	1
PVCR	DA02	1
PVCR	DA06	1
PVCR	DA09	1
VB03	VA04	1
VB06	VA08	1
VB08	VA09	9
VB11	VA12	1
