Source	Target	Weight
PVCL	VB11	1
PVCL	VB10	1
PVCL	VB08	1
PVCL	VB06	1
PVCL	VB05	1
PVCL	VB04	1
PVCL	VB03	1
PVCL	PVCR	1
PVCL	DB07	1
PVCL	DB06	1
PVCL	DB04	1
PVCL	DB03	1
PVCL	DB02	1
PVCL	AVBR	1
PVCL	AVBL	1
PVCR	PVCL	1
PVCR	VB11	1
PVCR	VB10	1
PVCR	VB08	1
PVCR	VB06	1
PVCR	VB05	1
PVCR	VB04	1
PVCR	VB03	1
PVCR	DB07	1
PVCR	DB06	1
PVCR	DB04	1
PVCR	DB03	1
PVCR	DB02	1
PVCR	AVBR	1
PVCR	AVBL	1
AVBL	AVBR	1
RIBR	AVBL	1
AVBR	AVBL	1
RIBL	AVBR	1
VB06	VB07	1
VB07	VB06	1
VB08	VB09	1
VB09	VB08	1
