Source	Target	Weight
AVBL	AVBR	1
AVBL	DB03	1
AVBL	DB04	1
AVBL	DB05	1
AVBL	DB06	1
AVBL	DB07	1
AVBL	RIBL	1
AVBL	RIBR	1
AVBL	VB01	1
AVBL	VB02	1
AVBL	VB04	1
AVBL	VB05	1
AVBL	VB06	1
AVBL	VB07	1
AVBL	VB08	1
AVBL	VB09	1
AVBL	VB10	1
AVBL	VB11	1
AVBR	AVBL	1
DB03	AVBL	1
DB04	AVBL	1
DB05	AVBL	1
DB06	AVBL	1
DB07	AVBL	1
RIBL	AVBL	1
RIBR	AVBL	1
VB01	AVBL	1
VB02	AVBL	1
VB04	AVBL	1
VB05	AVBL	1
VB06	AVBL	1
VB07	AVBL	1
VB08	AVBL	1
VB09	AVBL	1
VB10	AVBL	1
VB11	AVBL	1
AVBR	DB01	1
AVBR	DB02	1
AVBR	DB03	1
AVBR	DB04	1
AVBR	DB05	1
AVBR	DB06	1
AVBR	DB07	1
AVBR	RIBL	1
AVBR	RIBR	1
AVBR	VB02	1
AVBR	VB03	1
AVBR	VB04	1
AVBR	VB06	1
AVBR	VB07	1
AVBR	VB08	1
AVBR	VB09	1
AVBR	VB10	1
AVBR	VB11	1
DB01	AVBR	1
DB02	AVBR	1
DB03	AVBR	1
DB04	AVBR	1
DB05	AVBR	1
DB06	AVBR	1
DB07	AVBR	1
RIBL	AVBR	1
RIBR	AVBR	1
VB02	AVBR	1
VB03	AVBR	1
VB04	AVBR	1
VB06	AVBR	1
VB07	AVBR	1
VB08	AVBR	1
VB09	AVBR	1
VB10	AVBR	1
VB11	AVBR	1
DB01	DB02	1
DB01	DB04	1
DB01	VB03	1
DB01	VB04	1
DB02	DB01	1
DB04	DB01	1
VB03	DB01	1
VB04	DB01	1
DB02	VB01	1
DB02	DB03	1
VB01	DB02	1
DB03	DB02	1
DB03	DB04	1
DB04	DB03	1
DB04	VB02	1
DB04	VB04	1
VB02	DB04	1
VB04	DB04	1
RIBL	RIBR	1
RIBR	RIBL	1
VB01	VB02	1
VB02	VB01	1
VB02	VB03	1
VB02	VB05	1
VB02	VB07	1
VB03	VB02	1
VB05	VB02	1
VB07	VB02	1
VB04	VB05	1
VB05	VB04	1
VB05	VB06	1
VB06	VB05	1
VB08	VB09	1
VB09	VB08	1
DB03	VB02	1
VB02	DB03	1
VB06	DB01	1
DB01	VB06	1
DB01	VB07	1
VB07	DB01	1
AVBL	DB02	1
DB02	AVBL	1
VB01	AVBR	1
AVBR	VB01	1
AVBL	DB01	1
DB01	AVBL	1
AVBR	VB05	1
VB05	AVBR	1
VB03	AVBL	1
AVBL	VB03	1
