Source	Target	Weights
I1L	I6	1
I1L	pm4D	1
I1R	I3	1
I1R	M1	1
I1R	M2L	1
I1R	M3L	1
I1R	MI	1
I1R	NSML	1
I1R	pm4D	1
I1R	pm5VR	1
I2L	M1	1
I2L	pm3VL	1
I2L	pm5D	1
I2L	pm5VR	1
I2R	I1R	1
I2R	MCL	1
I2R	pm1	1
I2R	pm3VR	1
I2R	pm4VL	1
I2R	pm5VL	1
I2R	e3VR	1
I3	I1L	1
I3	I1R	1
I3	I6	1
I3	MCL	1
I3	MI	1
I4	MI	1
I4	pm4D	1
I5	I2R	1
I5	I3	1
I5	NSML	1
I5	pm6VL	1
I6	I1R	1
I6	I2L	1
M1	I1R	1
M1	I4	1
M1	M4	1
M1	M5	1
M1	pm2D	1
M1	pm2VL	1
M1	pm3VL	1
M1	pm4D	1
M1	e3VL	1
M1	RIPL	1
M2L	M3R	1
M2R	M3R	1
M2R	NSMR	1
M3L	NSML	1
M3R	pm4VR	1
M3R	bm	1
M4	I5	1
M4	M2L	1
M4	M3L	1
M4	MCL	1
M4	pm4VR	1
M5	I5	1
M5	M1	1
M5	g1AR	1
M5	g2R	1
MI	I1L	1
MI	I4	1
MI	NSML	1
MI	pm4VL	1
NSML	I4	1
NSML	I6	1
NSML	M3R	1
NSMR	I2L	1
NSMR	pm5VL	1
ASIL	ADFL	1
ASIL	CEPVR	1
ASIL	AIZL	1
ASIL	RIBL	1
ASIL	RMFL	1
ASIR	AWAR	1
ASIR	ADLR	1
ASIR	CEPVR	1
ASJL	ASKR	1
ASJL	CEPDL	1
ASJL	HSNL	1
ASJL	HSNR	1
ASJR	hyp	1
ASJR	HSNR	1
AWAL	ASGL	1
AWAR	ASGR	1
AWAR	AUAR	1
ASGR	AIYR	1
AWBL	ASEL	1
AWBL	AWCL	1
AWBL	AIYL	1
AWBL	AIBR	1
AWBL	HSNL	1
AWBR	ASGR	1
AWBR	ASER	1
AWBR	URYVR	1
AWBR	OLQVR	1
AWBR	AIMR	1
AWBR	AIYR	1
AWBR	RIFR	1
ASEL	ASJL	1
ASEL	AWBL	1
ASEL	ADFR	1
ASEL	IL2R	1
ASEL	OLLR	1
ASEL	RIR	1
ASEL	AIZL	1
ASER	ASKL	1
ASER	ADLR	1
ASER	AIZL	1
