Source	Target	Weight
AIBL	AVBL	4
AIBL	RIBR	4
AIBR	AVBR	4
AIBR	RIBL	4
AVAL	AVBR	1
AVAL	PVCL	8
AVAL	PVCR	7
AVAL	DB06	3
AVAL	DB03	1
AVAR	AVBL	1
AVAR	PVCL	7
AVAR	PVCR	8
AVAR	DB06	3
AVAR	DB03	1
AVDR	AVBL	1
AVDR	PVCR	1
AVDR	DB04	1
RIML	AVBL	4
RIML	AVBR	3
RIML	RIBL	1
RIMR	AVBL	3
RIMR	RIBR	1
RIMR	AVBR	4
AVDL	AVBR	1
AVDL	PVCL	1
AVDL	DB04	1
AVEL	PVCR	1
AVEL	DB03	1
AVER	PVCL	1
AVER	DB03	1
DA03	DB03	1
DA04	DB03	1
DA05	DB04	1
VA12	PVCL	3
VA12	PVCR	3
VA12	DB07	4
VA04	VB03	2
VA06	VB05	2
VA08	VB08	1
VA08	VB06	1
VA09	VB08	6
VA11	VB10	1
