Source	Target	Weight
AIBL	RIML	2
AIBL	RIMR	13
RIMR	AIBL	4
AIBR	RIMR	1
AIBR	RIML	16
AVAL	AVDL	1
AVAL	AVAR	2
AVAL	DA01	2
AVAL	DA02	2
AVAL	DA03	6
AVAL	DA04	7
AVAL	DA05	7
AVAL	DA09	3
AVAL	VA08	9
AVAL	VA09	7
AVAL	DA06	11
AVAL	DA07	2
AVAL	DA08	4
AVAL	VA02	1
AVAL	VA03	2
AVAL	VA04	2
AVAL	VA05	3
AVAL	VA06	4
AVAL	VA10	5
AVAL	VA11	6
AVAL	VA12	2
RIMR	AVAL	2
RIML	AVAL	1
AIBL	AVAL	2
AVEL	AVAL	12
AVDL	AVAL	13
AVAR	AVAL	1
AVDR	AVAL	16
AVER	AVAL	7
VA02	AVAL	1
AVAR	AVDL	1
AVAR	DA01	2
AVAR	DA03	3
AVAR	DA04	6
AVAR	DA06	11
AVAR	DA08	8
AVAR	VA02	2
AVAR	VA03	5
AVAR	VA08	12
AVAR	VA09	6
AVAR	AVDR	2
AVAR	AVEL	2
AVAR	AVER	2
AVAR	DA02	2
AVAR	DA05	2
AVAR	DA07	3
AVAR	DA09	2
AVAR	VA04	2
AVAR	VA05	1
AVAR	VA06	3
AVAR	VA10	4
AVAR	VA11	8
AIBR	AVAR	1
AVDL	AVAR	19
AVDR	AVAR	15
AVEL	AVAR	7
AVER	AVAR	16
AVDL	DA02	1
AVDL	DA03	4
AVDL	DA04	2
AVDL	DA08	1
AVDL	VA05	2
AVDL	DA01	1
AVDL	DA05	1
AVDR	AVDL	2
VA04	AVDL	1
AVDR	DA02	1
AVDR	DA03	2
AVDR	DA04	2
AVDR	DA05	2
AVDR	DA09	1
AVDR	VA02	1
AVDR	VA03	2
AVDR	DA01	2
AVDR	DA08	1
AVDR	VA06	1
AVDR	VA11	1
AVER	AVDR	1
AVEL	DA03	3
AVEL	VA03	3
AVEL	DA01	5
AVEL	DA02	1
AVEL	DA04	1
AVEL	VA01	5
AIBR	AVEL	1
AVER	DA02	3
AVER	DA03	1
AVER	VA03	2
AVER	VA05	1
AVER	DA01	5
AVER	VA01	1
AVER	VA02	1
AVER	VA04	1
DA03	DA04	2
DA04	DA03	1
VA12	DA08	3
VA12	DA09	5
VA02	VA03	2
VA03	VA04	1
VA08	VA09	1
VA12	VA11	1
