Source	Target	Weight
RIBR	AIBL	2
RIBL	AIBR	2
AVBR	AVAL	6
AVBL	AVAL	7
PVCL	AVAL	2
PVCR	AVAL	7
RIBL	AVAL	2
AVBR	AVAR	7
AVBL	AVAR	7
PVCL	AVAR	4
PVCR	AVAR	7
RIBR	AVAR	2
AVBL	AVEL	1
AVBL	VA02	1
AVBL	VA07	1
AVBL	VA10	1
AVBL	AVDL	1
AVBL	AVDR	2
AVBL	AVER	2
AVBR	VA09	1
AVBR	DA05	1
AVBR	VA04	1
PVCL	AVDL	5
PVCR	AVDL	5
PVCL	AVDR	2
PVCR	AVDR	1
RIBL	AVDR	1
PVCL	AVEL	2
PVCR	AVEL	1
RIBL	AVEL	2
RIBR	AVEL	3
PVCL	AVER	1
PVCR	AVER	1
RIBL	AVER	5
RIBR	AVER	2
PVCL	DA02	1
PVCL	DA05	1
PVCL	DA06	1
PVCR	DA09	1
VB03	VA04	1
VB06	VA08	1
VB08	VA09	9
VB11	VA12	1
