Source	Target	Weight
PVCL	DB02	2
PVCR	DB02	2
PVCL	DB03	2
PVCR	DB03	2
PVCL	DB04	2
PVCR	DB04	2
PVCL	DB06	2
PVCR	DB06	2
PVCL	DB07	2
PVCR	DB07	2
PVCL	VB03	2
PVCR	VB03	2
PVCL	VB04	2
PVCR	VB04	2
PVCL	VB05	2
PVCR	VB05	2
PVCL	VB06	2
PVCR	VB06	2
PVCL	VB08	2
PVCR	VB08	2
PVCL	VB10	2
PVCR	VB10	2
PVCL	VB11	2
PVCR	VB11	2
AVBR	AVBL	1
PVCL	AVBL	6
PVCR	AVBL	10
RIBR	AVBL	1
AVBL	AVBR	1
PVCL	AVBR	10
PVCR	AVBR	6
RIBL	AVBR	1
PVCR	PVCL	3
PVCL	PVCR	3
VB06	VB07	2
VB09	VB08	2
VB08	VB09	2
VB07	VB06	2
