Source	Target	Weight
AVBL	AVBR	1
AVBR	AVBL	1
PVCL	AVBL	6
PVCL	AVBR	10
PVCL	PVCR	3
PVCL	DB02	2
PVCL	DB03	4
PVCL	DB04	4
PVCL	DB06	2
PVCL	DB07	2
PVCL	VB05	1
PVCL	VB10	2
PVCL	VB03	1
PVCL	VB04	2
PVCL	VB06	2
PVCL	VB08	1
PVCL	VB11	1
PVCL	VB07	3
PVCR	AVBL	10
PVCR	AVBR	6
PVCR	PVCL	3
PVCR	DB02	2
PVCR	DB03	4
PVCR	DB04	4
PVCR	DB06	2
PVCR	DB07	2
PVCR	VB05	1
PVCR	VB10	2
PVCR	VB03	1
PVCR	VB04	2
PVCR	VB06	2
PVCR	VB08	1
PVCR	VB11	1
PVCR	VB07	3
RIBL	AVBR	1
VB06	VB07	1
VB08	VB09	3
VB11	PVCL	1
VB11	PVCR	1
VB09	VB08	1
RIBR	AVBL	1
